@relation matrixdomains

@attribute numberOfRows numeric
@attribute numberOfColumns numeric
@attribute numberOfConnectedComponent numeric
@attribute numberOfBlockFromDmPerm numeric
@attribute normalizedAvgNNZPerRow numeric
@attribute avgNNZPerRow numeric
@attribute stdNNZPerRow numeric
@attribute varNNZPerRow numeric
@attribute maxEig numeric
@attribute field {real,pattern}
@attribute symmetric {symmetric,general,skew-symmetric}
@attribute domain {'subsequent circuit simulation problem','structural problem','optimization problem','computational fluid dynamics problem','undirected graph','2D/3D problem','directed graph','chemical process simulation problem','power network problem','economic problem','circuit simulation problem','subsequent computational fluid dynamics problem','subsequent theoretical/quantum chemistry problem','electromagnetics problem','directed weighted graph','materials problem','eigenvalue/model reduction problem','model reduction problem','undirected random graph','thermal problem'}

@data
9506,9506,1,1,0.004377,41.605933,6.72738,45.257635,0.396998,real,symmetric,'subsequent theoretical/quantum chemistry problem'
162,162,1,1,0.045039,7.296296,1.740596,3.029676,9.131846,pattern,symmetric,'structural problem'
137,137,18,115,0.021312,2.919708,1.52941,2.339094,10.430019,real,general,'chemical process simulation problem'
406,406,1,1,0.016477,6.689655,0.741864,0.550362,7.926945,pattern,symmetric,'thermal problem'
1224,1224,1,1,0.006416,7.853758,1.56328,2.443845,16825059.534882,real,general,'computational fluid dynamics problem'
132,132,2,56,0.023703,3.128788,1.842688,3.395501,61.342768,real,general,'chemical process simulation problem'
62,62,2,2,0.117066,7.258065,3.203152,10.26018,9.217945,real,general,'electromagnetics problem'
225,225,1,1,0.021037,4.733333,0.481812,0.232143,8.971753,real,general,'2D/3D problem'
4875,4875,3,3,0.004432,21.608,5.347196,28.592509,0,real,symmetric,'materials problem'
317,317,82,82,0.058942,18.684543,15.737005,247.653336,61.042157,real,general,'subsequent computational fluid dynamics problem'
6867,6867,2,2,0.002092,14.368866,4.373587,19.128264,14733108638.969002,real,symmetric,'computational fluid dynamics problem'
35588,35588,2,2,0.000933,33.197033,15.177129,230.34525,58.969063,pattern,symmetric,'structural problem'
45330,45330,1,1,0.001564,70.893845,39.731468,1578.589582,141.985083,pattern,symmetric,'computational fluid dynamics problem'
1650,1650,2,2,0.002725,4.496364,1.714363,2.939041,516.780003,real,general,'computational fluid dynamics problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,real,general,'subsequent circuit simulation problem'
1220,1220,34,188,0.003959,4.829508,4.014385,16.115289,2.960366,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.179943,real,general,'subsequent circuit simulation problem'
1220,1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
24482,24482,1,183,0.000176,4.31227,1.114089,1.241195,11.715242,pattern,symmetric,'circuit simulation problem'
29736,29736,1,1,0.005027,149.478074,47.058162,2214.470614,1.6831556352591028E19,real,symmetric,'structural problem'
94294,94294,5232,8549,0.000054,5.056165,96.577346,9327.18372,5800,real,general,'circuit simulation problem'
40806,40806,3,3,0.000122,4.990001,0.175159,0.030681,12.198089,real,symmetric,'optimization problem'
4772,4772,4711,314,0.000394,1.878667,8.900422,79.217512,3.282673,pattern,general,'directed graph'
6611,6611,1,1,0.001472,9.731206,17.042145,290.434698,3461.742376,real,symmetric,'optimization problem'
2500,2500,1,1,0.001976,4.9396,0.24326,0.059176,9552.635302,real,general,'materials problem'
29957,29957,1,1,0.002218,66.459225,38.479241,1480.652004,18.188801,real,general,'computational fluid dynamics problem'
9669,9669,1,1,0.000721,6.9698,0.392206,0.153825,2088.514478,real,general,'model reduction problem'
18696,18696,221,221,0.012577,235.145967,252.77243,63893.901506,50416.071536,real,general,'power network problem'
66,66,1,1,1,66,0,0,28144.551964,real,symmetric,'structural problem'
193,193,1,1,0.093774,18.098446,6.060085,36.724633,22.104681,pattern,symmetric,'structural problem'
425,425,3,321,0.006948,2.952941,1.834586,3.365705,5.284716,real,general,'chemical process simulation problem'
577,577,1,1,0.011681,6.740035,0.685926,0.470495,7.947781,pattern,symmetric,'thermal problem'
532,532,2,2,0.012275,6.530075,2.018987,4.076307,149867.499331,real,general,'computational fluid dynamics problem'
156,156,1,134,0.014875,2.320513,1.196701,1.432093,43.971314,real,general,'chemical process simulation problem'
782,782,2,2,0.012287,9.608696,3.827634,14.650782,0,real,general,'electromagnetics problem'
2961,2961,1,1,0.001664,4.925701,0.267404,0.071505,9.919373,real,general,'2D/3D problem'
13965,13965,3,3,0.001656,23.122449,4.944121,24.444329,0,real,symmetric,'materials problem'
5773,5773,212,212,0.002151,12.420059,4.833477,23.362501,129211745.667011,real,general,'computational fluid dynamics problem'
3175,3175,1,1,0.008405,26.684409,9.73725,94.814045,36.093982,real,general,'computational fluid dynamics problem'
53370,53370,1297,2557,0.000225,12.015927,22.502297,506.35336,179195998.898303,real,general,'economic problem'
14270,14270,31,1564,0.001501,21.426069,26.053057,678.761756,2.651633,real,general,'chemical process simulation problem'
9506,9506,1,1,0.004443,42.231012,7.070076,49.985976,0.430602,real,symmetric,'subsequent theoretical/quantum chemistry problem'
44609,44609,1,1,0.001012,45.163554,15.485217,239.791937,76.194238,pattern,symmetric,'structural problem'
70656,70656,1,1,0.000366,25.837579,3.023958,9.144322,7.802753,real,symmetric,'computational fluid dynamics problem'
33861,33861,1,1,0.000145,4.915773,0.437323,0.191252,0,real,general,'electromagnetics problem'
1500,1500,1,1,0.043398,65.096667,28.020327,785.138748,0.614861,real,general,'structural problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,real,general,'subsequent circuit simulation problem'
1220,1220,34,188,0.003959,4.829508,4.014385,16.115289,2.884108,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003394,6.153337,30.785803,947.765658,1.017819,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.179877,real,general,'subsequent circuit simulation problem'
1220,1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
44234,44234,1,1,0.000222,9.827373,21.343438,455.542329,68083.46379,real,symmetric,'optimization problem'
30202,30202,1,203,0.000143,4.314383,1.113236,1.239294,12.215513,pattern,symmetric,'circuit simulation problem'
22098,22098,1,1,0.003963,87.579147,32.371781,1047.932211,105.629284,pattern,symmetric,'structural problem'
40000,40000,5,5,0.000124,4.9402,0.419796,0.176228,12.399497,real,symmetric,'optimization problem'
94294,94294,5229,8546,0.000054,5.082465,96.66399,9343.927044,5800,real,general,'circuit simulation problem'
87190,87190,1178,3495,0.00008,6.955947,101.977096,10399.328055,769162.496832,real,general,'circuit simulation problem'
6537,6537,1,1,0.001472,9.620774,15.240337,232.267885,37287.004044,real,symmetric,'optimization problem'
6927,6927,1394,42,0.000353,2.446081,8.422633,70.940747,25.84154,pattern,symmetric,'undirected graph'
66917,66917,1,1,0.00038,25.454892,3.514262,12.350037,25.305142,real,symmetric,'model reduction problem'
112,112,2,2,0.05102,5.714286,0.591662,0.350064,369179803512.296448,real,symmetric,'structural problem'
53370,53370,1297,2557,0.000225,12.015927,22.502297,506.35336,18621.182974,real,general,'economic problem'
14270,14270,31,1556,0.001512,21.573791,26.26978,690.101324,2.65171,real,general,'chemical process simulation problem'
9506,9506,1,1,0.004518,42.948033,7.126396,50.785516,0.477796,real,symmetric,'subsequent theoretical/quantum chemistry problem'
1182,1182,162,162,0.02124,25.105753,16.938895,286.926148,12.860621,real,general,'subsequent computational fluid dynamics problem'
12005,12005,607,607,0.001801,21.622407,12.304802,151.408145,51119718.458867,real,general,'computational fluid dynamics problem'
13535,13535,1,1,0.002037,27.575545,9.736102,94.791673,44.86826,real,general,'computational fluid dynamics problem'
198,198,6,6,0.035507,7.030303,2.144309,4.598062,9.242975,pattern,symmetric,'structural problem'
225,225,17,151,0.025738,5.791111,4.493637,20.192778,75.827438,real,general,'chemical process simulation problem'
778,778,1,1,0.00871,6.77635,0.64083,0.410663,7.960833,pattern,symmetric,'thermal problem'
167,167,1,91,0.018143,3.02994,1.864136,3.475002,254.066299,real,general,'chemical process simulation problem'
398,398,2,2,0.018371,7.311558,2.496025,6.230143,0.000047,real,symmetric,'electromagnetics problem'
900,900,1,1,0.005407,4.866667,0.352963,0.124583,9.599868,real,general,'2D/3D problem'
24696,24696,3,3,0.000957,23.638241,4.721085,22.288643,0,real,symmetric,'materials problem'
8738,8738,1,1,0.007752,67.739071,16.107837,259.462411,76.827267,pattern,symmetric,'structural problem'
33861,33861,1,1,0.000145,4.915773,0.437323,0.191252,0,real,general,'electromagnetics problem'
6691,6691,1,1,0.001032,6.902855,1.312061,1.721503,8.318305,pattern,symmetric,'structural problem'
20414,20414,1,1,0.00403,82.27682,43.900118,1927.220335,0.500499,real,general,'computational fluid dynamics problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,real,general,'subsequent circuit simulation problem'
1220,1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871694,real,general,'subsequent circuit simulation problem'
1220,1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.223375,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.180044,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
135,135,1,7,0.036488,4.925926,2.678353,7.173577,15.000531,real,general,'circuit simulation problem'
64810,64810,6,6,0.000135,8.733158,18.686997,349.203864,821338952.064385,real,symmetric,'optimization problem'
17222,17222,1,1,0.000712,12.255487,5.749821,33.060441,16.259925,pattern,symmetric,'computational fluid dynamics problem'
94294,94294,5232,8549,0.000054,5.081458,96.663548,9343.841572,5800,real,general,'circuit simulation problem'
472,472,42,230,0.011796,5.567797,6.693126,44.797942,16.710022,pattern,symmetric,'undirected graph'
38,38,35,9,0.034626,1.315789,2.505187,6.27596,2,pattern,general,'directed graph'
11,11,4,2,0.239669,2.636364,1.206045,1.454545,2.106919,pattern,general,'directed graph'
7479,7479,1,1,0.001179,8.81682,28.450792,809.447585,17482.235887,real,symmetric,'optimization problem'
8192,8192,1,1,0.000622,5.095947,0.61426,0.377315,109.827796,real,general,'electromagnetics problem'
10605,10605,1,4244,0.003775,40.036492,37.197594,1383.660965,0,real,general,'thermal problem'
17361,17361,1,1,0.003388,58.819135,32.051476,1027.297125,5498500099.763514,real,symmetric,'model reduction problem'
51032,51032,1568,4666,0.000095,4.850447,22.565602,509.206416,826006.365418,real,general,'circuit simulation problem'
7224,7224,1204,1204,0.001036,7.486434,3.499583,12.247082,40.347115,real,general,'power network problem'
132,132,1,1,0.209366,27.636364,10.791057,116.446912,17076420.88456,real,symmetric,'structural problem'
381,381,1,6,0.014701,5.60105,4.739909,22.466736,0,real,general,'chemical process simulation problem'
59310,59310,1437,2837,0.000204,12.099477,22.686089,514.658637,265756797.195863,real,general,'economic problem'
17576,17576,31,1807,0.001229,21.606793,26.138362,683.213971,0,real,general,'chemical process simulation problem'
2837,2837,1,880,0.001363,3.865703,2.01981,4.079631,0,real,general,'chemical process simulation problem'
9506,9506,1,1,0.004945,47.003787,6.491429,42.13865,0.543635,real,symmetric,'subsequent theoretical/quantum chemistry problem'
62,62,2,2,0.08897,5.516129,1.888203,3.565309,0.000273,real,symmetric,'electromagnetics problem'
52329,52329,1,1,0.00095,49.69128,16.547613,273.823491,1773194674111.24224,real,symmetric,'structural problem'
1182,1182,162,162,0.023407,27.666667,14.483974,209.785493,0,real,general,'subsequent computational fluid dynamics problem'
441,441,1,1,0.138003,60.85941,25.620716,656.421099,996380100.985302,real,symmetric,'computational fluid dynamics problem'
7320,7320,2,2,0.006061,44.36776,26.56381,705.636015,320.658925,real,general,'computational fluid dynamics problem'
1000,1000,1,1,0.01998,19.98,4.426194,19.591191,21.016027,pattern,symmetric,'undirected random graph'
31802,31802,1,1,0.00214,68.052638,360.308601,129822.287912,421.318537,pattern,symmetric,'optimization problem'
3140,3140,1,1,0.054771,171.981529,191.671726,36738.05063,1,real,general,'economic problem'
209,209,1,1,0.039903,8.339713,2.258404,5.100386,11.439692,pattern,symmetric,'structural problem'
936,936,1,1,0.00715,6.692308,0.727889,0.529823,7.905596,pattern,symmetric,'2D/3D problem'
147,147,1,1,0.113332,16.659864,4.41122,19.458858,373675231.589196,real,symmetric,'structural problem'
6019,6019,1,1,0.001131,6.805948,0.695538,0.483773,8.055621,pattern,symmetric,'structural problem'
367,367,1,1,0.017945,6.585831,1.170034,1.368979,0.88757,real,general,'computational fluid dynamics problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
1879,1879,1,24,0.003631,6.821714,34.926846,1219.884597,1047.298152,real,general,'circuit simulation problem'
67458,67458,29,29,0.000137,9.248925,21.948271,481.726582,790105.594415,real,symmetric,'optimization problem'
1813,1813,7,483,0.003392,6.148924,30.786111,947.784653,3.866532,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.180059,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,real,general,'subsequent circuit simulation problem'
1220,1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871656,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
20685,20685,1,1,0.005738,118.682959,28.555331,815.406925,127.226754,pattern,symmetric,'structural problem'
37261,37261,1,19,0.000319,11.904485,27.607938,762.198257,326846.608555,real,general,'circuit simulation problem'
1157,1157,166,734,0.002763,3.197061,9.950182,99.006116,10.799991,real,general,'circuit simulation problem'
10605,10605,4245,4245,0.001286,13.633098,12.151662,147.662899,2,real,symmetric,'thermal problem'
11730,11730,331,331,0.002386,27.990026,7.863172,61.829468,0,real,general,'model reduction problem'
1028,1028,3,23,0.00241,2.477626,0.587508,0.345166,2.842683,real,general,'eigenvalue/model reduction problem'
62,62,1,19,0.082726,5.129032,2.955871,8.737176,7.193614,pattern,symmetric,'undirected graph'
62631,62631,1,1,0.000187,11.705354,4.873486,23.750864,14.545836,pattern,symmetric,'2D/3D problem'
512,512,1,1,0.00946,4.84375,0.667237,0.445205,2.299705,real,general,'electromagnetics problem'
5488,5488,754,50,0.00047,2.581997,5.949228,35.393312,14.448196,pattern,symmetric,'undirected graph'
121,121,12,23,0.014138,1.710744,1.220915,1.490634,2.42669,pattern,general,'directed graph'
11,11,1,3,0.297521,3.272727,1.420627,2.018182,2.783445,pattern,general,'directed graph'
8204,8204,1,1,0.00111,9.102389,14.833326,220.02755,88179.136559,real,symmetric,'optimization problem'
20640,20640,1556,4593,0.000229,4.716715,16.82438,283.059772,769114.986626,real,general,'circuit simulation problem'
153,153,1,1,0.103507,15.836601,5.129196,26.308652,9305483.428468,real,symmetric,'structural problem'
147,147,1,1,0.112962,16.605442,4.431453,19.637778,10764.85845,real,symmetric,'structural problem'
59310,59310,1437,2837,0.000204,12.099477,22.686089,514.658637,37242.359142,real,general,'economic problem'
17576,17576,31,1798,0.001237,21.732761,26.321388,692.815464,0,real,general,'chemical process simulation problem'
53570,53570,2,2,0.000409,21.909539,4.297592,18.469294,27.146888,pattern,symmetric,'structural problem'
5308,5308,1,1076,0.000805,4.272796,2.853003,8.139625,1994.59052,real,general,'chemical process simulation problem'
9506,9506,1,1,0.005251,49.912897,7.020417,49.286258,0.634468,real,symmetric,'subsequent theoretical/quantum chemistry problem'
479,479,2,166,0.008229,3.941545,2.751327,7.569798,1700.662321,real,general,'chemical process simulation problem'
782,782,2,2,0.009782,7.649616,2.557907,6.542887,0.000035,real,symmetric,'electromagnetics problem'
726,726,1,1,0.06549,47.545455,18.531092,343.401379,5743525899.308468,real,symmetric,'structural problem'
1182,1182,162,162,0.02124,25.105753,16.938895,286.926148,28.546029,real,general,'subsequent computational fluid dynamics problem'
2203,2203,1,1,0.013976,30.789832,15.747204,247.974429,0.231847,real,general,'computational fluid dynamics problem'
22560,22560,2,2,0.001994,44.988963,26.576216,706.295237,55050.084094,real,general,'computational fluid dynamics problem'
1000,1000,1,1,0.01998,19.98,4.477236,20.045646,21.030917,pattern,symmetric,'undirected random graph'
62064,62064,1,1,0.001103,68.450084,356.026244,126754.686486,421.31867,pattern,symmetric,'optimization problem'
3140,3140,1,1,0.055089,172.980892,191.672268,36738.258316,1,real,general,'economic problem'
221,221,1,1,0.033353,7.371041,1.609029,2.588976,9.222841,pattern,symmetric,'structural problem'
1009,1009,1,1,0.006743,6.803766,0.603516,0.364232,7.969544,pattern,symmetric,'2D/3D problem'
66,66,66,66,0.015152,1,0,0,0.345657,real,symmetric,'structural problem'
15606,15606,1,1,0.000441,6.879534,0.573444,0.328838,8.109776,pattern,symmetric,'structural problem'
13514,13514,1,1,0.001932,26.103448,13.764986,189.47483,0.873561,real,general,'computational fluid dynamics problem'
1813,1813,8,474,0.003379,6.12631,30.787942,947.897392,1.6101,real,general,'subsequent circuit simulation problem'
1220,1220,1,133,0.00496,6.05082,5.914266,34.978547,2.8877,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,real,general,'subsequent circuit simulation problem'
1220,1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.179913,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
68924,68924,1,1,0.000139,9.561053,22.646032,512.842768,806449.998116,real,symmetric,'optimization problem'
52804,52804,1,1,0.003807,201.011476,88.665018,7861.48539,97945477703.782,real,symmetric,'structural problem'
7598,7598,109,134,0.000845,6.417742,69.15249,4782.06688,399999,real,general,'circuit simulation problem'
47072,47072,1,1,0.001051,49.478586,17.657565,311.789603,724239300331.837824,real,symmetric,'structural problem'
87190,87190,1178,3495,0.00008,6.955947,101.977096,10399.328055,48060165.495078,real,general,'circuit simulation problem'
19998,19998,1,1,0.00025,4.9996,0.024493,0.0006,46139143.152941,real,symmetric,'model reduction problem'
485,485,44,173,0.011742,5.694845,6.827999,46.621564,16.998523,pattern,symmetric,'undirected graph'
112,112,1,1,0.026786,3,0,0,3,pattern,symmetric,'undirected graph'
11,11,3,2,0.338843,3.727273,1.420627,2.018182,3.286374,pattern,general,'directed graph'
8127,8127,1,1,0.001176,9.55937,16.500282,272.259304,1216.69434,real,symmetric,'optimization problem'
512,512,1,1,0.009537,4.882813,0.73088,0.534185,0.977909,real,general,'electromagnetics problem'
2028,2028,3,23,0.001217,2.468935,0.54544,0.297505,2.842683,real,general,'eigenvalue/model reduction problem'
39,39,1,1,0.223537,8.717949,6.223676,38.734143,11.495851,pattern,symmetric,'undirected graph'
420,420,1,1,0.044558,18.714286,6.473319,41.903853,5627266045.764268,real,symmetric,'structural problem'
1258,1258,1,670,0.004854,6.106518,9.545425,91.115136,6.685261,real,general,'economic problem'
234,234,7,7,0.015231,3.564103,1.472988,2.169693,5.583099,pattern,symmetric,'structural problem'
1089,1089,1,1,0.006207,6.759412,0.66626,0.443903,7.967736,pattern,symmetric,'2D/3D problem'
112,112,112,74,0.00574,0.642857,0.481311,0.23166,10807,real,symmetric,'structural problem'
497,497,2,294,0.006967,3.462777,3.945077,15.563632,6868.844,real,general,'chemical process simulation problem'
200,200,1,1,0.0199,3.98,0.140351,0.019698,1235.50692,real,general,'chemical process simulation problem'
882,882,1,43,0.004311,3.802721,1.744026,3.041627,8454723.607069,real,general,'power network problem'
1050,1050,1,1,0.023762,24.950476,18.078987,326.849785,32539516.003377,real,symmetric,'structural problem'
1182,1182,162,162,0.023407,27.666667,14.483974,209.785493,39.0474,real,general,'subsequent computational fluid dynamics problem'
656,656,1,1,0.044068,28.908537,14.647331,214.544293,0.514527,real,general,'computational fluid dynamics problem'
9035,9035,474,478,0.00411,37.130271,22.24125,494.673198,81846.04734,real,general,'computational fluid dynamics problem'
1000,1000,1,1,0.01998,19.98,4.34148,18.848448,20.972694,pattern,symmetric,'undirected random graph'
16783,16783,1,1,0.033101,555.528034,1233.55701,1521662.897304,1541.611625,pattern,symmetric,'optimization problem'
6774,6774,1291,1311,0.000735,4.981399,5.67972,32.259214,619635.87201,real,general,'economic problem'
35152,35152,61,7985,0.000605,21.249772,26.381475,695.98222,0,real,general,'chemical process simulation problem'
4350,4350,1,1,0.012567,54.666207,21.838205,476.907182,72.947314,pattern,symmetric,'structural problem'
1048,1048,2,98,0.012109,12.689885,9.298726,86.466297,48.576143,real,general,'chemical process simulation problem'
9506,9506,1,1,0.005491,52.19272,6.529252,42.631135,0.75742,real,symmetric,'subsequent theoretical/quantum chemistry problem'
17546,17546,1,1,0.000395,6.927505,0.579491,0.33581,1287.178243,real,symmetric,'structural problem'
85623,85623,1,1,0.000324,27.737279,14.712139,216.447047,0.937345,real,general,'computational fluid dynamics problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
180,180,1,19,0.045525,8.194444,15.376503,236.43684,86246.222561,real,general,'circuit simulation problem'
76638,76638,18,18,0.000146,11.215324,29.236643,854.781277,104100.618934,real,symmetric,'optimization problem'
63838,63838,1,1,0.003472,221.636925,95.876453,9192.294165,97946201857.163216,real,symmetric,'structural problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,real,general,'subsequent circuit simulation problem'
10605,10605,1,4244,0.003775,40.036492,37.197594,1383.660965,0,real,general,'thermal problem'
5822,5822,877,50,0.000435,2.533494,5.94834,35.382747,14.819448,pattern,symmetric,'undirected graph'
11,11,1,2,0.396694,4.363636,1.629278,2.654545,3.637573,pattern,general,'directed graph'
9271,9271,1,1,0.001356,12.57545,29.277689,857.183061,505134.224083,real,symmetric,'optimization problem'
18,18,1,1,0.253086,4.555556,0.704792,0.496732,504968.027563,real,symmetric,'model reduction problem'
1220,1220,34,188,0.003959,4.829508,4.014385,16.115289,2.871652,real,general,'subsequent circuit simulation problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
1813,1813,6,473,0.003376,6.120794,30.785742,947.761891,5.064498,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.179613,real,general,'subsequent circuit simulation problem'
16955,16955,16794,16794,0.000132,2.232321,6.282983,39.475869,1.524404,real,general,'economic problem'
10879,10879,6563,772,0.000338,3.676257,4.918828,24.194868,4.446964,pattern,general,'directed graph'
66,66,1,11,0.274105,18.090909,13.969998,195.160839,49.328602,real,general,'eigenvalue/model reduction problem'
4028,4028,3,23,0.000612,2.464499,0.522625,0.273137,2.842683,real,general,'eigenvalue/model reduction problem'
2559,2559,1,2,0.00125,3.198124,0.402568,0.162061,0,pattern,symmetric,'2D/3D problem'
1138,1138,1,1,0.00313,3.56239,1.802976,3.250721,47643.244925,real,symmetric,'power network problem'
420,420,420,420,0.002381,1,0,0,15204.820457,real,symmetric,'structural problem'
1377,1377,1,1,0.004743,6.530864,0.86558,0.749228,7.845665,pattern,symmetric,'2D/3D problem'
496,496,66,28,0.166912,82.788306,126.549952,16014.890449,12747.791722,real,general,'economic problem'
1054,1054,1,1,0.010978,11.571157,5.589823,31.246119,15.845073,pattern,symmetric,'structural problem'
307,307,1,1,0.02677,8.218241,1.094218,1.197313,9.657998,pattern,symmetric,'structural problem'
1083,1083,1,1,0.015719,17.024007,4.090178,16.729553,107009615.656529,real,symmetric,'structural problem'
3564,3564,1,1,0.001757,6.261504,0.746266,0.556912,19927.344895,real,symmetric,'computational fluid dynamics problem'
1505,1505,1,405,0.00239,3.597342,2.383731,5.682174,22893.97,real,general,'chemical process simulation problem'
961,961,1,1,0.005069,4.870968,0.347611,0.120833,0,real,general,'subsequent computational fluid dynamics problem'
2283,2283,1,1,0.00919,20.981603,8.552033,73.13726,89.230425,real,general,'computational fluid dynamics problem'
1089,1089,1,164,0.003494,3.805326,2.128399,4.530082,0.953546,real,general,'chemical process simulation problem'
3000,3000,1,2,0.001333,4,0,0,4,pattern,symmetric,'undirected random graph'
68902,68902,1,1,0.000079,5.450611,2.235024,4.995333,44661.540862,real,general,'circuit simulation problem'
13694,13694,1914,1934,0.000388,5.311377,6.110931,37.343481,256,real,general,'economic problem'
70304,70304,121,7066,0.000309,21.735492,26.318934,692.686304,0,real,general,'chemical process simulation problem'
18510,18510,851,851,0.000424,7.841653,99.952154,9990.433026,1100.001811,real,general,'2D/3D problem'
430,430,9,31,0.00835,3.590698,1.449992,2.102477,2001004.291115,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.180017,real,general,'subsequent circuit simulation problem'
1813,1813,6,469,0.003421,6.202978,30.785641,947.755686,1.174299,real,general,'subsequent circuit simulation problem'
1220,1220,34,188,0.003959,4.829508,4.014385,16.115289,2.875123,real,general,'subsequent circuit simulation problem'
25187,25187,107,7447,0.000305,7.671259,143.816763,20683.261178,17.176053,real,general,'subsequent circuit simulation problem'
29067,29067,1,1,0.002463,71.595383,37.067046,1373.965881,79934.633755,real,general,'structural problem'
1813,1813,6,469,0.00342,6.200772,30.785727,947.760993,2.62139,real,general,'subsequent circuit simulation problem'
9506,9506,1,1,0.006968,66.233958,5.801374,33.655937,1.340286,real,symmetric,'subsequent theoretical/quantum chemistry problem'
37376,37376,1,1,0.000214,7.986301,6.277884,39.411826,14.741559,pattern,symmetric,'optimization problem'
80016,80016,1,1,0.000055,4.437038,49.985285,2498.528761,42.07656,real,symmetric,'optimization problem'
18892,18892,1,1,0.001395,26.352107,26.0973,681.069069,229.083622,pattern,symmetric,'optimization problem'
71505,71505,1,1,0.001035,74.040766,37.548764,1409.909714,15252127.741426,real,symmetric,'structural problem'
7245,7245,3,3,0.000879,6.368806,4.146352,17.192235,3475770.718774,real,symmetric,'economic problem'
2025,2025,1,1,0.02439,49.390123,20.738416,430.081918,5094.380861,real,general,'model reduction problem'
8497,8497,8482,766,0.000093,0.791573,8.937044,79.870748,1.847759,pattern,general,'directed graph'
72,72,68,17,0.023534,1.694444,1.182488,1.398279,1,pattern,general,'directed graph'
10471,10471,1,1,0.001006,10.532423,41.340484,1709.035601,80968.965992,real,symmetric,'optimization problem'
2398,2398,2,99,0.010764,25.81151,21.548567,464.34076,425.866898,real,general,'chemical process simulation problem'
7920,7920,1,1,0.000505,4,0,0,0,pattern,symmetric,'structural problem'
10848,10848,1,1,0.01045,113.364307,48.095581,2313.184868,1211603732271.261952,real,symmetric,'structural problem'
2597,2597,242,242,0.011307,29.363881,14.974672,224.240806,15.383883,real,general,'subsequent computational fluid dynamics problem'
2048,2048,1,1,0.002869,5.875,0.34241,0.117245,73.027771,real,general,'computational fluid dynamics problem'
10798,10798,2,2,0.005219,56.356733,243.794677,59435.844759,181827.506225,real,symmetric,'power network problem'
13309,13309,1919,5212,0.000276,3.672102,2.78739,7.769541,704016827.820259,real,general,'eigenvalue/model reduction problem'
