@relation 'matrixdomains-weka.filters.unsupervised.attribute.Remove-Rfirst-3,5,6,13-14,20-22,24-39'

@attribute numberOfRows numeric
@attribute numberOfConnectedComponent numeric
@attribute numberOfBlockFromDmPerm numeric
@attribute normalizedAvgNNZPerRow numeric
@attribute avgNNZPerRow numeric
@attribute stdNNZPerRow numeric
@attribute varNNZPerRow numeric
@attribute isDiagonallyDominant {true,false}
@attribute isBlockDiagonal {true,false}
@attribute isDiagonal {true,false}
@attribute field {real,pattern,integer,complex}
@attribute symmetric {symmetric,general,skew-symmetric,hermitian}
@attribute isUndirectedWeightedRandomGraph {0,1}

@data
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
7598,109,134,0.000845,6.417742,69.15249,4782.06688,false,true,false,real,general,0
88263,1,3,0.000096,8.4318,2.835231,8.038536,false,false,false,real,symmetric,0
80016,1,1,0.000055,4.437038,49.985285,2498.528761,false,false,false,real,symmetric,0
22835,1,9833,0.00315,71.924984,164.406821,27029.602807,false,false,false,real,general,0
66463,1,1,0.002344,155.768157,350.746956,123023.42729,false,false,false,pattern,symmetric,0
18,1,5,0.114198,2.055556,0.235702,0.055556,false,false,false,pattern,general,0
11,1,3,0.297521,3.272727,1.420627,2.018182,false,false,false,pattern,general,0
31793,20,20,0.000382,12.140628,36.927575,1363.645831,false,true,false,real,symmetric,0
1280,15,15,0.02924,37.426563,14.190514,201.370678,false,true,false,complex,general,0
112211,2,2,0.000059,6.668963,0.672829,0.452698,false,true,false,real,general,0
14454,2,2,0.000708,10.237443,105.257028,11079.041936,false,true,false,real,symmetric,0
16955,16794,16794,0.000132,2.232321,6.282983,39.475869,false,true,false,real,general,0
3136,1,1,0.001243,3.897959,0.306936,0.09421,false,false,false,pattern,symmetric,0
2048,1,1,0.002922,5.983398,1.393585,1.942079,false,false,false,pattern,symmetric,0
308,2,2,0.033543,10.331169,7.307178,53.394856,false,true,false,real,general,0
132288,1,24586,0.000036,4.82786,3.588917,12.880329,false,false,false,integer,symmetric,0
48,1,1,0.173611,8.333333,1.641656,2.695035,false,false,false,real,symmetric,0
3600,3600,3600,0.000278,1,0,0,true,true,true,real,symmetric,0
245,1,1,0.02434,5.963265,2.600969,6.765038,false,false,false,pattern,symmetric,0
261,1,29,0.02202,5.747126,2.520157,6.351194,false,false,false,real,general,0
132,2,56,0.023703,3.128788,1.842688,3.395501,false,true,false,real,general,0
512,1,1,0.009537,4.882813,0.73088,0.534185,true,false,false,real,general,0
1440,1,1,0.0217,31.248611,7.663846,58.734536,false,false,false,real,symmetric,0
7320,2,2,0.006061,44.36776,26.56381,705.636015,false,true,false,real,general,0
4960,1,1,0.000807,4.001613,1.931055,3.728975,false,false,false,real,general,0
36609,1281,1281,0.00016,5.863121,3.846873,14.798435,false,true,false,real,general,0
18589,1,1,0.000373,6.93168,0.546091,0.298216,true,false,false,real,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
180,1,19,0.045525,8.194444,15.376503,236.43684,false,false,false,real,general,0
10262,1,1,0.00058,5.948743,1.603495,2.571196,false,false,false,real,symmetric,0
80016,1,1,0.000054,4.339407,47.73093,2278.241709,false,false,false,real,symmetric,0
22835,9833,9833,0.001369,31.263718,58.957862,3476.029513,false,true,false,real,general,0
29920,2,2,0.002271,67.954545,57.821105,3343.280129,false,true,false,pattern,symmetric,0
11,3,2,0.338843,3.727273,1.420627,2.018182,false,true,false,pattern,general,0
35910,5,5,0.000295,10.588694,32.071143,1028.558217,false,true,false,real,symmetric,0
1280,1280,1280,0.007342,9.397656,5.218194,27.229549,false,true,true,complex,hermitian,0
5374,126,126,0.007112,38.220878,36.187208,1309.514018,false,true,false,real,general,0
33833,33628,33628,0.000064,2.165016,7.563481,57.206246,false,true,false,real,general,0
1961,1,2,0.001341,2.629271,0.943149,0.889531,false,false,false,pattern,symmetric,0
4096,1,1,0.001462,5.988281,1.367818,1.870925,false,false,false,pattern,symmetric,0
628,2,2,0.016091,10.105096,7.104042,50.467406,false,true,false,real,general,0
288987,1,42666,0.000017,4.90202,3.104083,9.635334,false,false,false,integer,symmetric,0
66,1,1,1,66,0,0,false,false,false,real,symmetric,0
138,138,138,0.007246,1,0,0,true,true,true,real,symmetric,0
2680,1,1,0.003484,9.33806,1.855725,3.443717,false,false,false,pattern,symmetric,0
32,1,1,0.123047,3.9375,1.389767,1.931452,false,false,false,pattern,general,0
666,1,41,0.00909,6.054054,2.548198,6.493314,false,false,false,real,general,0
156,1,134,0.014875,2.320513,1.196701,1.432093,false,false,false,real,general,0
8192,1,1,0.000622,5.095947,0.61426,0.377315,false,false,false,real,general,0
22560,2,2,0.001994,44.988963,26.576216,706.295237,false,true,false,real,general,0
68902,1,1,0.000079,5.450611,2.235024,4.995333,false,false,false,real,general,0
45769,1601,1601,0.000128,5.867793,3.847476,14.803072,false,true,false,real,general,0
1700,83,83,0.007443,12.652353,6.681678,44.644815,false,true,false,real,general,0
19366,1,1,0.000358,6.930084,0.523318,0.273862,true,false,false,real,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,189,0.003953,4.822951,4.015736,16.126134,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
32,1,1,0.095703,3.0625,1.189673,1.415323,false,false,false,real,general,0
49666,1,1,0.000226,11.24701,2.38662,5.695957,false,false,false,real,symmetric,0
60008,1,1,0.000071,4.2495,53.973142,2913.100013,false,false,false,real,symmetric,0
22835,1,9833,0.003674,83.894285,191.402222,36634.810406,false,false,false,real,general,0
36720,2,2,0.001911,70.185185,66.626818,4439.132894,false,true,false,pattern,symmetric,0
23,3,10,0.164461,3.782609,3.605003,12.996047,false,true,false,pattern,general,0
11,1,2,0.396694,4.363636,1.629278,2.654545,false,false,false,pattern,general,0
37833,49,49,0.000282,10.661935,134.556113,18105.347541,false,true,false,real,symmetric,0
3200,8,8,0.006643,21.258125,5.827273,33.957108,false,true,false,real,general,0
15374,326,326,0.002582,39.696826,36.407153,1325.480772,false,true,false,real,general,0
22283,410,410,0.049684,1107.106,1409.153226,1985712.814183,false,true,false,real,symmetric,0
83334,3656,3656,0.000865,72.125183,19.080309,364.058177,false,true,false,real,symmetric,0
615,1,1,0.006192,3.80813,0.406301,0.16508,false,false,false,pattern,symmetric,0
8192,1,1,0.000732,5.99292,1.342814,1.803148,false,false,false,pattern,symmetric,0
114599,1,61423,0.000018,2.08843,0.411211,0.169094,false,false,false,pattern,symmetric,0
1268,2,2,0.007952,10.083596,7.173635,51.461041,false,true,false,real,general,0
133769,1,19232,0.000035,4.679305,2.624106,6.885933,false,false,false,integer,symmetric,0
112,2,2,0.05102,5.714286,0.591662,0.350064,false,true,false,real,symmetric,0
3134,3134,3134,0.000319,1,0,0,true,true,true,real,symmetric,0
307,1,1,0.02677,8.218241,1.094218,1.197313,false,false,false,pattern,symmetric,0
237,2,2,0.018106,4.291139,0.971874,0.94454,false,true,false,integer,symmetric,0
167,1,91,0.018143,3.02994,1.864136,3.475002,false,false,false,real,general,0
9035,474,478,0.00411,37.130271,22.24125,494.673198,false,true,false,real,general,0
105676,1359,1420,0.000046,4.855142,7.890151,62.254483,false,true,false,real,general,0
45769,1601,1601,0.000128,5.867793,3.847476,14.803072,false,true,false,real,general,0
300,31,31,0.035056,10.516667,7.680257,58.986343,false,true,false,real,general,0
7920,1,1,0.000505,4,0,0,false,false,false,pattern,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,194,0.003932,4.796721,4.023066,16.185059,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
5952,1,1,0.000626,3.723454,1.397408,1.952748,false,false,false,real,general,0
12546,1,1,0.00089,11.161645,2.414124,5.827994,false,false,false,real,symmetric,0
60012,1,1,0.000178,10.665084,305.432698,93289.132984,false,false,false,real,symmetric,0
22835,9990,9990,0.001273,29.062536,57.01839,3251.096816,false,true,false,real,general,0
43520,2,2,0.001648,71.71875,74.779902,5592.033767,false,true,false,pattern,symmetric,0
80,11,35,0.03625,2.9,1.619501,2.622785,false,true,false,pattern,general,0
332,1,88,0.038576,12.807229,20.133517,405.358497,false,false,false,real,symmetric,0
43640,5,5,0.000157,6.841659,14.275508,203.790139,false,true,false,real,symmetric,0
3200,14,14,0.001789,5.72375,1.965774,3.864269,false,true,false,real,symmetric,0
160000,1,1,0.000068,10.9401,0.420848,0.177113,false,false,false,real,general,0
20374,426,426,0.001958,39.891479,36.431594,1327.261035,false,true,false,real,general,0
14340,320,320,0.087866,1259.999163,1375.183241,1891128.947485,false,true,false,real,symmetric,0
62451,244,244,0.001028,64.168436,14.056374,197.581637,false,true,false,real,symmetric,0
5981,1,2,0.000439,2.625648,0.972088,0.944954,false,false,false,pattern,symmetric,0
16384,1,1,0.000366,5.996338,1.34823,1.817724,false,false,false,pattern,symmetric,0
2548,2,2,0.003955,10.076138,7.158403,51.242728,false,true,false,real,general,0
193352,1,20797,0.000024,4.726375,2.491717,6.208655,false,false,false,integer,symmetric,0
132,1,1,0.209366,27.636364,10.791057,116.446912,false,false,false,real,symmetric,0
3562,3562,3562,0.000281,1,0,0,true,true,true,real,symmetric,0
310,1,1,0.025473,7.896774,1.47547,2.177012,false,false,false,pattern,symmetric,0
957,2,2,0.004517,4.322884,0.950242,0.902959,false,true,false,real,symmetric,0
381,1,6,0.014701,5.60105,4.739909,22.466736,false,false,false,real,general,0
416,8,8,0.049475,20.581731,6.329739,40.065593,false,true,false,real,general,0
7,1,1,0.306122,2.142857,0.377964,0.142857,false,false,false,real,general,0
17758,23,23,0.000314,5.58323,13.012369,169.32176,false,true,false,real,general,0
54929,1921,1921,0.000107,5.870906,3.847875,14.806139,false,true,false,real,general,0
3060,83,83,0.004508,13.794444,6.433752,41.39317,false,true,false,real,general,0
48,1,1,0.132813,6.375,1.044234,1.090426,true,false,false,real,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,193,0.003937,4.803279,4.020537,16.164714,false,true,false,real,general,0
1220,1,133,0.00496,6.05082,5.914266,34.978547,false,false,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
12546,1,1,0.00089,11.161645,2.414124,5.827994,false,false,false,real,symmetric,0
22835,1,9990,0.003282,74.95323,175.493877,30798.100729,false,false,false,real,general,0
9520,2,2,0.004427,42.142857,32.481606,1055.054703,false,true,false,pattern,symmetric,0
1538,1028,204,0.003396,5.222367,5.966287,35.596585,false,true,false,pattern,general,0
4941,1,1968,0.00054,2.669095,1.791454,3.209306,false,false,false,pattern,symmetric,0
43618,1,1,0.000163,7.107524,16.759982,280.896983,false,false,false,real,symmetric,0
4800,8,8,0.004438,21.3025,5.800115,33.641336,false,true,false,real,general,0
160000,1,1,0.000068,10.9401,0.420848,0.177113,false,false,false,real,general,0
90449,1,1,0.000459,41.498093,2.682215,7.194277,false,false,false,pattern,symmetric,0
25626,262,262,0.010296,263.837509,310.481112,96398.520718,false,true,false,real,general,0
206500,1,34,0.00003,6.166533,4.435876,19.676997,false,false,false,real,general,0
45101,2072,2072,0.014241,642.276025,856.678531,733898.106137,false,true,false,real,symmetric,0
32768,1,1,0.000183,5.998169,1.355438,1.837211,false,false,false,pattern,symmetric,0
144649,1,1,0.000103,14.855174,2.718324,7.389283,false,false,false,pattern,symmetric,0
48837,1,10799,0.000098,4.802711,3.273623,10.716605,false,false,false,integer,symmetric,0
5108,2,2,0.00197,10.064996,7.166301,51.355869,false,true,false,real,general,0
1866,1,1,0.002032,3.792069,0.408569,0.166929,false,false,false,pattern,symmetric,0
153,1,1,0.103507,15.836601,5.129196,26.308652,false,false,false,real,symmetric,0
15439,15439,15439,0.000065,1,0,0,true,true,true,real,symmetric,0
346,4,4,0.026947,9.323699,4.1702,17.390567,false,true,false,pattern,symmetric,0
207,4,164,0.013349,2.763285,1.671289,2.793209,false,true,false,real,general,0
960,1,1,0.017192,16.504167,2.454589,6.025009,false,false,false,real,symmetric,0
479,2,166,0.008229,3.941545,2.751327,7.569798,false,true,false,real,general,0
416,14,14,0.01336,5.557692,2.03382,4.136423,false,true,false,real,symmetric,0
1089,1,249,0.003284,3.576676,1.847058,3.411625,false,false,false,real,general,0
170998,48,153,0.000033,5.607878,4.392175,19.291201,false,true,false,real,general,0
54929,1921,1921,0.000107,5.870906,3.847875,14.806139,false,true,false,real,general,0
22695,4,4,0.002359,53.543996,26.569851,705.956985,false,true,false,real,general,0
5940,147,147,0.002376,14.114815,6.344434,40.251843,false,true,false,real,general,0
48,1,1,0.132813,6.375,1.044234,1.090426,true,false,false,real,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,193,0.003934,4.79918,4.022272,16.17867,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
22967,1,1437,0.000166,3.821135,1.337357,1.788523,false,false,false,real,symmetric,0
93279,1,1,0.000139,12.985034,653.400867,426932.693552,false,false,false,real,symmetric,0
94294,5232,8549,0.000054,5.056165,96.577346,9327.18372,false,true,false,real,general,0
88343,97,97,0.000313,27.639168,85.303026,7276.606289,false,true,false,pattern,symmetric,0
101,1,2,0.037251,3.762376,5.138382,26.40297,false,false,false,pattern,symmetric,0
48066,51,51,0.000156,7.498606,18.913334,357.714187,false,true,false,real,symmetric,0
4800,14,14,0.001194,5.733333,1.960469,3.84344,false,true,false,real,symmetric,0
5357,1,1,0.007237,38.770767,7.058706,49.825336,false,false,false,pattern,symmetric,0
38120,378,378,0.011128,424.217445,484.243851,234492.106839,false,true,false,real,general,0
9800,1,1,0.000604,5.916122,0.518369,0.268706,false,false,false,pattern,symmetric,0
65536,1,1,0.000092,5.998993,1.353208,1.831173,false,false,false,pattern,symmetric,0
110971,1,1,0.00012,13.371674,2.915075,8.49766,false,false,false,pattern,symmetric,0
169588,1,15695,0.000029,4.893695,2.743723,7.528015,false,false,false,integer,symmetric,0
10228,2,2,0.000983,10.058271,7.160164,51.267945,false,true,false,real,general,0
259789,1,1,0.000063,16.331226,2.812156,7.908222,false,false,false,real,symmetric,0
420,1,1,0.044558,18.714286,6.473319,41.903853,false,false,false,real,symmetric,0
1922,1922,1922,0.00052,1,0,0,true,true,true,real,symmetric,0
361,1,1,0.022659,8.180055,1.345049,1.809157,false,false,false,pattern,symmetric,0
59,1,19,0.077851,4.59322,2.052069,4.210988,false,false,false,real,general,0
100,1,1,0.0594,5.94,1.455189,2.117576,true,false,false,real,symmetric,0
497,2,294,0.006967,3.462777,3.945077,15.563632,false,true,false,real,general,0
400,1,1,0.007506,3.0025,0.111915,0.012525,false,false,false,real,general,0
1089,1,164,0.003494,3.805326,2.128399,4.530082,false,false,false,real,general,0
2880,107,177,0.002198,6.329514,6.405546,41.031015,false,true,false,real,general,0
64089,2241,2241,0.000092,5.873005,3.84804,14.807411,false,true,false,real,general,0
41092,4,4,0.000997,40.978828,167.040097,27902.394091,false,true,false,real,general,0
48,1,1,0.132813,6.375,1.044234,1.090426,true,false,false,real,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,189,0.003956,4.82623,4.015062,16.120722,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
12992,1,1101,0.000292,3.799646,1.359754,1.848932,false,false,false,real,symmetric,0
94294,5229,8546,0.000054,5.082465,96.66399,9343.927044,false,true,false,real,general,0
16320,2,2,0.003549,57.916667,39.12804,1531.003534,false,true,false,pattern,symmetric,0
36,4,23,0.043981,1.583333,1.273353,1.621429,false,true,false,pattern,general,0
345241,77,77,0.00002,6.780362,36.444037,1328.1678,false,true,false,real,symmetric,0
1484,3,3,0.002774,4.117251,1.601078,2.563451,false,true,false,real,general,0
71505,1,1,0.001035,74.040766,37.548764,1409.909714,false,false,false,real,symmetric,0
5563,1,1,0.009253,51.472407,8.685405,75.436267,false,false,false,integer,symmetric,0
14538,170,171,0.006976,101.411817,102.256049,10456.299611,false,true,false,real,general,0
75888,42185,13073,0.000088,6.705105,26.015145,676.787771,false,true,false,pattern,general,0
2642,2,798,0.000946,2.500379,0.748721,0.560583,false,true,false,pattern,symmetric,0
121192,21350,3,0.000179,21.654325,13.792719,190.239107,false,true,false,real,symmetric,0
19190,1,1,0.000155,2.978739,0.144257,0.02081,false,false,false,pattern,symmetric,0
131072,1,1,0.000046,5.99939,1.344555,1.807829,false,false,false,pattern,symmetric,0
20468,2,2,0.000492,10.068204,7.174383,51.471773,false,true,false,real,general,0
168609,1,26028,0.000029,4.928385,3.435693,11.803985,false,false,false,integer,symmetric,0
1138,1,1,0.00313,3.56239,1.802976,3.250721,true,false,false,real,symmetric,0
1224,1,1,0.037463,45.854575,9.797296,95.987011,false,false,false,real,symmetric,0
24,1,1,0.277778,6.666667,1.833663,3.362319,false,false,false,pattern,symmetric,0
511,98,135,0.010708,5.471624,3.440058,11.833997,false,true,false,real,general,0
3564,1,1,0.001757,6.261504,0.746266,0.556912,true,false,false,real,symmetric,0
100,1,1,0.0396,3.96,0.196946,0.038788,false,false,false,real,general,0
974,1,2,0.039689,38.657084,22.565867,509.218362,false,false,false,real,general,0
53370,1297,2557,0.000225,12.015927,22.502297,506.35336,false,true,false,real,general,0
22044,1,1,0.002015,44.428416,20.22086,408.883185,false,false,false,pattern,symmetric,0
109460,2,2,0.000041,4.499945,1.939103,3.76012,false,true,false,real,general,0
1813,6,473,0.003376,6.120794,30.785742,947.761891,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
3306,85,3,0.006854,22.660617,11.299327,127.674799,false,true,false,pattern,symmetric,0
73752,17459,17459,0.000395,29.1322,18.806961,353.701767,false,true,false,real,symmetric,0
1882,1882,408,0.000491,0.924548,2.309549,5.334017,false,true,true,pattern,general,0
6317,1,1,0.001406,8.884439,34.678163,1202.574991,false,false,false,real,symmetric,0
343791,1,1,0.000227,78.062291,40.80918,1665.389182,false,false,false,real,symmetric,0
262111,6594,62289,0.000018,4.711275,0.95154,0.905429,false,true,false,pattern,general,0
8361,1332,3401,0.000451,3.767731,4.305567,18.537911,false,true,false,real,symmetric,0
8140,2,2,0.030378,247.276781,323.629112,104735.802115,false,true,false,real,symmetric,0
1224,1,1,0.037463,45.854575,9.797296,95.987011,false,false,false,real,symmetric,0
419,1,1,0.020295,8.50358,1.744948,3.044844,false,false,false,pattern,symmetric,0
137,18,115,0.021312,2.919708,1.52941,2.339094,false,true,false,real,general,0
468,1,1,0.023614,11.051282,2.461163,6.057322,true,false,false,real,symmetric,0
655,2,198,0.006545,4.287023,2.993377,8.960305,false,true,false,real,general,0
400,400,401,0.002494,0.9975,0.05,0.0025,false,true,true,real,symmetric,0
57735,1,9133,0.000083,4.76477,3.937359,15.502795,false,false,false,real,general,0
2880,107,177,0.002198,6.329514,6.405546,41.031015,false,true,false,real,general,0
64089,2241,2241,0.000092,5.873005,3.84804,14.807411,false,true,false,real,general,0
1477,21,298,0.008447,12.475965,15.831224,250.62764,false,true,false,real,general,0
306,1,1,0.021552,6.594771,1.189781,1.415579,true,false,false,real,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,189,0.003956,4.82623,4.015062,16.120722,false,true,false,real,general,0
25187,107,7417,0.000305,7.673641,143.816715,20683.247651,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
189924,1,5,0.000047,8.902909,2.761951,7.628374,false,false,false,real,symmetric,0
27607,2,2,0.000235,6.498171,131.25744,17228.5156,false,true,false,real,symmetric,0
94294,5232,8549,0.000054,5.081458,96.663548,9343.841572,false,true,false,real,general,0
23120,2,2,0.002786,64.411765,48.427534,2345.226005,false,true,false,pattern,symmetric,0
73,71,27,0.018015,1.315068,3.316108,10.996575,false,true,false,pattern,general,0
2361,101,579,0.002481,5.85684,7.955374,63.287971,false,true,false,pattern,symmetric,0
768,1,43,0.004974,3.820313,1.595791,2.546549,false,false,false,real,general,0
20896,1,1,0.000438,9.158116,1.644435,2.704168,false,false,false,real,general,0
25710,1,1,0.005673,145.841385,47.444881,2251.016732,false,false,false,real,symmetric,0
28338,270,271,0.003666,103.884784,102.40641,10487.072902,false,true,false,real,general,0
62631,1,1,0.000187,11.705354,4.873486,23.750864,false,false,false,pattern,symmetric,0
126146,1,43495,0.00002,2.56766,0.781718,0.611083,false,false,false,pattern,symmetric,0
262144,1,1,0.000023,5.999725,1.341118,1.798598,false,false,false,pattern,symmetric,0
22499,1,1,0.000173,3.898662,0.30193,0.091161,false,false,false,pattern,symmetric,0
40948,2,2,0.000246,10.065156,7.176445,51.501359,false,true,false,real,general,0
84538,1,13413,0.000058,4.932669,3.624317,13.135677,false,false,false,integer,symmetric,0
1074,4,4,0.011236,12.067039,21.084598,444.560273,false,true,false,real,symmetric,0
492,2,2,0.013038,6.414634,1.948112,3.795142,false,true,false,pattern,symmetric,0
425,3,321,0.006948,2.952941,1.834586,3.365705,false,true,false,real,general,0
675,1,1,0.007144,4.822222,0.40153,0.161227,true,false,false,real,symmetric,0
989,2,270,0.003597,3.557128,2.377361,5.651844,false,true,false,real,general,0
100,1,1,0.0396,3.96,1.989467,3.95798,false,false,false,real,general,0
216,1,1,0.092528,19.986111,8.76859,76.888178,false,false,false,real,general,0
13935,1,2226,0.000326,4.543021,3.779766,14.286634,false,false,false,real,general,0
5850,177,317,0.001244,7.276581,8.576394,73.554538,false,true,false,real,general,0
2954,42,596,0.004226,12.483074,15.824508,250.415054,false,true,false,real,general,0
306,1,1,0.021552,6.594771,1.189781,1.415579,true,false,false,real,symmetric,0
6245,6,6,0.001092,6.818415,2.361136,5.574965,false,true,false,integer,symmetric,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,190,0.003953,4.822951,4.016144,16.129415,false,true,false,real,general,0
25187,107,7447,0.000305,7.671259,143.816763,20683.261178,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
27792,285,3460,0.000225,6.253454,1.673276,2.799851,false,true,false,real,symmetric,0
1157,166,734,0.002763,3.197061,9.950182,99.006116,false,true,false,real,general,0
19242,1,1,0.025181,484.535495,379.752473,144211.940557,false,false,false,pattern,symmetric,0
62,1,1,0.074662,4.629032,2.536513,6.433897,false,false,false,pattern,general,0
1250,1,1,0.004672,5.84,0.38382,0.147318,false,false,false,real,general,0
263743,3,169,0.000019,4.93003,88.291734,7795.430371,false,true,false,real,general,0
143571,1,1,0.000228,32.778716,16.879216,284.907946,false,false,false,integer,symmetric,0
42138,370,371,0.002486,104.73798,102.444383,10494.851557,false,true,false,real,general,0
77360,6724,6670,0.000151,11.704602,36.844128,1357.489802,false,true,false,pattern,general,0
129164,56,45244,0.00002,2.561627,0.784018,0.614684,false,true,false,pattern,symmetric,0
156317,1,1,0.000087,13.553625,3.320104,11.023093,false,false,false,pattern,symmetric,0
16840,1,1,0.00034,5.728266,0.50147,0.251472,false,false,false,pattern,symmetric,0
350169,3,29313,0.000014,4.882054,2.548297,6.493819,false,true,false,integer,symmetric,0
1083,1,1,0.015719,17.024007,4.090178,16.729553,false,false,false,real,symmetric,0
729,1,1,0.008688,6.333333,0.720577,0.519231,true,false,false,real,symmetric,0
503,1,1,0.023821,11.982107,4.991395,24.914022,false,false,false,pattern,symmetric,0
225,17,151,0.025738,5.791111,4.493637,20.192778,false,true,false,real,general,0
1505,1,405,0.00239,3.597342,2.383731,5.682174,false,false,false,real,general,0
1000,1,1,0.003996,3.996,1.998995,3.99598,false,false,false,real,general,0
4515,2,2,0.004793,21.640532,4.9683,24.684001,false,true,false,real,symmetric,0
2410,2,2,0.009442,22.755187,11.48601,131.928418,false,true,false,real,symmetric,0
6747,1,2419,0.000641,4.327108,3.682779,13.562863,false,false,false,real,general,0
5850,177,317,0.001244,7.276581,8.576394,73.554538,false,true,false,real,general,0
4101,31,443,0.00482,19.765179,25.15201,632.623626,false,true,false,real,general,0
289,1,1,0.016487,4.764706,0.456435,0.208333,true,false,false,real,symmetric,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
141347,2,2,0.000366,51.776118,12.794912,163.709778,false,true,false,real,symmetric,0
80595,1,1,0.000068,5.444444,0.64022,0.409882,false,false,false,real,symmetric,0
9728,1,1,0.007663,74.541941,32.800867,1075.896873,false,false,false,pattern,symmetric,0
1250,1,1,0.004672,5.84,0.38382,0.147318,false,false,false,real,general,0
261,1,1,0.034042,8.885057,31.451828,989.217507,false,false,false,real,general,0
1282,2,2,0.018645,23.903276,4.586237,21.033572,false,true,false,real,symmetric,0
38098,1911,1911,0.000471,17.959105,13.996169,195.892755,false,true,false,real,general,0
82168,10559,6904,0.00014,11.542985,36.918123,1362.947779,false,true,false,pattern,general,0
903,8,8,0.01443,13.0299,5.308466,28.179815,false,true,false,real,general,0
2559,1,2,0.00125,3.198124,0.402568,0.162061,false,false,false,pattern,symmetric,0
2851,1,1,0.003714,10.587864,2.709097,7.339207,false,false,false,pattern,symmetric,0
365344,1,40197,0.000013,4.839932,2.656574,7.057388,false,false,false,integer,symmetric,0
1086,2,2,0.018713,20.322284,5.620994,31.595577,false,true,false,real,symmetric,0
512,32,32,0.013359,6.839844,3.470555,12.04475,false,true,false,pattern,symmetric,0
936,1,1,0.00715,6.692308,0.727889,0.529823,false,false,false,pattern,symmetric,0
2529,1,700,0.014096,35.649664,86.028071,7400.828957,false,false,false,real,general,0
2021,1,522,0.00179,3.617021,2.391153,5.717611,false,false,false,real,general,0
2000,1,1,0.001999,3.998,1.999499,3.997995,false,false,false,real,general,0
20545,6,8168,0.000203,4.163397,3.553911,12.63028,false,true,false,real,general,0
10848,1,1,0.01045,113.364307,48.095581,2313.184868,false,false,false,real,symmetric,0
2548,2,2,0.008827,22.491366,11.302716,127.751398,false,true,false,real,symmetric,0
11790,317,597,0.000773,9.107973,14.493869,210.072233,false,true,false,real,general,0
4101,31,439,0.004916,20.161424,25.766461,663.910521,false,true,false,real,general,0
289,1,1,0.016487,4.764706,0.456435,0.208333,true,false,false,real,symmetric,0
20414,1,1,0.00403,82.27682,43.900118,1927.220335,false,false,false,real,general,0
1813,6,469,0.003421,6.202978,30.785641,947.755686,false,true,false,real,general,0
1220,34,188,0.003959,4.829508,4.014385,16.115289,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
430,9,31,0.00835,3.590698,1.449992,2.102477,false,true,false,real,general,0
148770,1,1,0.000481,71.530564,18.481007,341.547604,false,false,false,real,symmetric,0
180895,1,1,0.00003,5.46281,0.598088,0.35771,false,false,false,real,symmetric,0
7548,1,1,0.014643,110.522258,201.878485,40754.922653,false,false,false,real,general,0
